dim 1,dim 2
12.34995,0.13943514
-11.97605,-18.249435
-64.2336,41.975357
41.75663,-3.578123
-25.595816,57.7557
-65.15922,-11.413819
-25.453758,-59.14856
-19.457113,7.3002253
-54.711704,-11.167274
19.243982,73.82722
-33.296417,23.062984
21.059591,-78.45412
-59.56158,-1.7707794
17.778404,80.78679
56.839245,-65.61948
37.34582,19.867895
-32.302685,48.39293
18.28209,49.760845
99.077805,-2.2315335
-68.7958,46.721638
12.580267,-1.9819474
29.706188,87.72541
-16.419666,-16.488585
22.042444,-38.218033
28.851603,89.988846
-2.4645445,-42.37203
-34.068645,-41.397236
-2.3949575,2.7086327
-22.184198,-59.366486
-32.976734,16.873264
58.907284,9.985342
39.45689,-4.9034343
50.0778,63.515686
30.155096,40.752808
84.1997,-3.9601107
-53.027184,48.924564
59.34765,-64.14381
12.194545,14.610237
68.588196,1.3032207
55.79673,49.38532
17.905624,80.56692
-25.739834,-17.222944
-3.22084,24.698366
33.869267,40.246033
2.9104016,14.895428
26.736408,-52.204765
99.11076,-10.074268
69.31753,17.48504
-42.121685,-40.174385
-91.851585,-7.9005246
-68.6589,-14.212407
-59.997272,-11.66419
12.368272,-2.384832
12.35538,-59.714916
-12.177839,-27.35288
-30.078897,11.781133
-23.997585,24.006079
11.421983,-83.78575
44.09661,-8.236552
70.13766,20.789368
47.85078,64.509636
55.391525,58.558907
-22.89835,26.760242
-20.980068,81.956116
-20.474277,10.26545
-6.4846916,-81.51081
58.33686,42.93495
-8.484044,-26.577501
19.186079,-86.835236
58.62208,71.85188
18.048506,12.5824795
41.135056,-65.08883
-65.349846,-12.204492
-21.373264,-23.3142
-27.007568,-15.220366
2.1030204,-94.5068
-14.280439,80.51559
-57.46186,-47.107258
-53.166935,-62.78214
46.036186,-37.833427
13.190738,25.51905
26.928225,32.689087
42.82228,18.731422
23.560589,-38.549007
-66.04045,39.139687
61.19858,15.243466
85.235725,-3.1441355
30.642958,-65.130135
-58.143425,9.276089
-53.39522,-62.785564
8.444222,15.138222
82.78429,-1.2612684
13.8196335,27.531569
75.2712,-32.21614
19.671076,-41.458
-74.596176,-3.4981894
